DTYYYYMMDD,Open,High,Low,Close,Vol
20150120,1.21323,1.22411,1.20847,1.22351,23573.0
20150121,1.22351,1.2239,1.20875,1.21152,26279.0
20150122,1.21153,1.21701,1.21105,1.21546,24191.0
20150123,1.21547,1.21822,1.21456,1.21795,16967.0
20150124,1.21795,1.2229,1.21783,1.22275,11499.0
20150125,1.22276,1.22458,1.22179,1.22276,11551.0
20150126,1.22275,1.22279,1.22047,1.22222,8127.0
20150127,1.22221,1.22223,1.22074,1.22134,8884.0
20150128,1.22134,1.22162,1.22096,1.22113,1944.0
20150129,1.22063,1.22119,1.21975,1.22099,290.0
20150130,1.22098,1.22196,1.2204,1.22152,1693.0
20150131,1.22153,1.22318,1.22028,1.22071,7490.0
20150201,1.22074,1.22176,1.22015,1.22173,6349.0
20150202,1.22173,1.22178,1.21887,1.22029,6926.0
20150203,1.22029,1.22047,1.21934,1.21978,4220.0
20150204,1.21976,1.21984,1.21858,1.21892,3234.0
20150205,1.21891,1.21925,1.21749,1.21802,5311.0
20150206,1.218,1.22071,1.218,1.21995,6098.0
20150207,1.22,1.22119,1.21873,1.22117,7753.0
20150208,1.22116,1.22473,1.21966,1.22317,13035.0
20150209,1.22317,1.22474,1.22202,1.22274,9420.0
20150210,1.22271,1.224,1.22246,1.22302,7518.0
20150211,1.22305,1.22315,1.21699,1.21722,9074.0
20150212,1.21719,1.21861,1.21668,1.21748,8318.0
20150213,1.21749,1.21858,1.21579,1.21665,11221.0
20150214,1.21666,1.22027,1.21494,1.21922,14352.0
20150215,1.21899,1.2221,1.21874,1.22145,16602.0
20150216,1.22144,1.22163,1.21812,1.21916,10892.0
20150217,1.21915,1.22097,1.21883,1.22082,8485.0
20150218,1.22082,1.22265,1.22028,1.22258,6539.0
20150219,1.22258,1.22337,1.22233,1.22275,5585.0
20150220,1.22276,1.22388,1.22255,1.22331,5422.0
20150221,1.22317,1.22368,1.22293,1.22351,1856.0
20150222,1.22103,1.2222,1.22083,1.22199,444.0
20150223,1.22198,1.22322,1.22195,1.22218,1970.0
20150224,1.22218,1.22462,1.22201,1.22441,3292.0
20150225,1.2244,1.22754,1.22422,1.22704,6379.0
20150226,1.22704,1.22881,1.22695,1.22803,6409.0
20150227,1.22804,1.22809,1.22653,1.22681,4770.0
20150228,1.2268,1.2272,1.22538,1.22569,3443.0
20150301,1.2257,1.22662,1.22565,1.22621,4426.0
20150302,1.22624,1.22629,1.22323,1.22408,5593.0
20150303,1.22409,1.22417,1.22209,1.22299,6866.0
20150304,1.22296,1.22296,1.2175,1.21754,11341.0
20150305,1.21756,1.22082,1.21706,1.21996,8620.0
20150306,1.21997,1.22245,1.21986,1.22143,7003.0
20150307,1.22143,1.22218,1.21987,1.22033,5498.0
20150308,1.22029,1.22052,1.21827,1.21863,6079.0
20150309,1.21864,1.22017,1.21792,1.21918,6694.0
20150310,1.21918,1.22103,1.2189,1.21998,7565.0
20150311,1.21998,1.22073,1.21882,1.22041,6234.0
20150312,1.22042,1.22084,1.21946,1.22069,5090.0
20150313,1.22068,1.22103,1.2188,1.219,3775.0
20150314,1.21899,1.21907,1.2182,1.21864,2086.0
20150315,1.21865,1.21964,1.21857,1.21942,1513.0
20150316,1.21941,1.21981,1.21908,1.21941,1703.0
20150317,1.21941,1.21957,1.2191,1.21927,668.0
20150318,1.21914,1.21975,1.21899,1.21965,291.0
20150319,1.21971,1.22069,1.21941,1.22069,2078.0
20150320,1.2207,1.22118,1.21957,1.21962,3505.0
20150321,1.21962,1.22048,1.21775,1.21868,7044.0
20150322,1.21867,1.22049,1.21713,1.21854,6645.0
20150323,1.21855,1.21941,1.21796,1.21894,4395.0
20150324,1.21894,1.21974,1.21853,1.21928,3631.0
20150325,1.21929,1.22014,1.21878,1.22,4347.0
20150326,1.22,1.22046,1.21686,1.217,5602.0
