Datetime,Open,High,Low,Close,Vol,spread,real_volume,Ask,Bid,Current_Spread,EMA_50,EMA_200,RSI,MACD,MACD_Signal,ATR,Candle_Body,Upper_Shadow,Lower_Shadow,Tenkan_Sen,Kijun_Sen,Senkou_Span_A,Senkou_Span_B,Chikou_Span_Rel
2026-01-12 02:35:00,1.3423,1.34321,1.34227,1.34317,551,9,0,1.36814,1.36805,8.999999999992347e-05,1.3403537961148748,1.3410354571093217,85.45119705340876,0.0005817030528596501,0.00019687587456687733,0.0004985714285714275,0.0008699999999999264,4.0000000000040004e-05,2.999999999997449e-05,1.3411300000000002,1.3411300000000002,1.33999,1.3403900000000002,0.0031200000000000117
2026-01-12 02:40:00,1.34317,1.34321,1.34264,1.34313,436,9,0,1.36814,1.36805,8.999999999992347e-05,1.340462666855468,1.3410562983321146,84.48598130841259,0.0007027438521511886,0.0002980494700837396,0.0005299999999999987,4.0000000000040004e-05,4.0000000000040004e-05,0.0004899999999998794,1.3411300000000002,1.3411300000000002,1.340015,1.3403900000000002,0.0029999999999998916
2026-01-12 02:45:00,1.34313,1.34331,1.34287,1.34323,345,9,0,1.36814,1.36805,8.999999999992347e-05,1.3405711897238812,1.341077927204432,85.39741219963233,0.0007975451182384852,0.00039794859971468874,0.0005492857142857124,9.999999999998899e-05,8.000000000008001e-05,0.00025999999999992696,1.341265,1.34118,1.34,1.3403900000000002,0.0033399999999998986
2026-01-12 02:50:00,1.34324,1.3435000000000001,1.34306,1.34333,354,9,0,1.36814,1.36805,8.999999999992347e-05,1.3406793783621604,1.341100335888965,87.24584103512206,0.0008707079891814296,0.000492500477608037,0.0005642857142857315,8.999999999992347e-05,0.00017000000000022553,0.000180000000000069,1.3419050000000001,1.341275,1.34,1.3403900000000002,0.0034999999999998366
2026-01-12 02:55:00,1.34332,1.3435000000000001,1.3432,1.3434300000000001,383,9,0,1.36814,1.36805,8.999999999992347e-05,1.3407872458773697,1.3411235166263884,87.43169398907312,0.0009260839366249662,0.0005792171694114229,0.0005757142857143143,0.0001100000000000545,7.00000000000145e-05,0.00012000000000012001,1.34226,1.341275,1.34,1.3403900000000002,0.003590000000000204
2026-01-12 03:00:00,1.34352,1.34364,1.34307,1.34318,506,9,0,1.36814,1.36805,8.999999999992347e-05,1.3408810793723749,1.3411439791475188,83.76963350785499,0.0009389729673954239,0.0006511683290082232,0.0006100000000000153,0.00034000000000000696,0.00011999999999989797,0.0001100000000000545,1.34233,1.341345,1.34,1.3403900000000002,0.0034000000000000696
2026-01-12 03:05:00,1.34317,1.3435000000000001,1.34292,1.34336,502,9,0,1.36814,1.36805,8.999999999992347e-05,1.3409782919460074,1.3411660291062502,84.21052631579145,0.0009527296385984929,0.0007114805909262771,0.000644285714285748,0.0001900000000001345,0.000140000000000029,0.0002500000000000835,1.3423349999999998,1.341345,1.33993,1.3403200000000002,0.0040000000000000036
2026-01-12 03:10:00,1.34337,1.34371,1.34315,1.34351,538,9,0,1.36814,1.36805,8.999999999992347e-05,1.3410775746147916,1.3411893521997202,86.17200674536181,0.0009646161514942353,0.0007621077030398688,0.0006578571428571703,0.000140000000000029,0.00019999999999997797,0.00021999999999988695,1.342485,1.34138,1.33993,1.3402850000000002,0.003889999999999949
2026-01-12 03:15:00,1.34352,1.34383,1.3434,1.34345,484,9,0,1.36814,1.36805,8.999999999992347e-05,1.3411706109044077,1.3412118462076834,82.00408997955049,0.0009581498450563775,0.0008013161314431706,0.0005978571428571897,7.00000000000145e-05,0.00031000000000003247,5.0000000000105516e-05,1.34305,1.34144,1.33993,1.340165,0.003710000000000102
2026-01-12 03:20:00,1.34345,1.34405,1.34342,1.34388,465,9,0,1.36814,1.36805,8.999999999992347e-05,1.3412768614571762,1.3412383950016369,80.0453514739232,0.0009764665583027465,0.0008363462168150858,0.0005757142857143302,0.00042999999999993044,0.00017000000000000348,2.999999999997449e-05,1.343345,1.34155,1.33993,1.340165,0.004210000000000047
